order_id,customer_id,roll_id,not_include_items,extra_items_included,order_date
1,101,1,,,01-01-2025 18:05
2,101,1,,,01-01-2025 19:00
3,102,1,,,02-01-2025 23:51
3,102,2,,NaN,02-01-2025 23:51
4,103,1,4,,04-01-2025 13:23
4,103,1,4,,04-01-2025 13:23
4,103,2,4,,04-01-2025 13:23
5,104,1,null,1,08-01-2025 21:00
6,101,2,null,null,08-01-2025 21:03
7,105,2,null,1,08-01-2025 21:20
8,102,1,null,null,09-01-2025 23:54
9,103,1,,"1,5",10-01-2025 11:22
10,104,1,null,null,11-01-2025 18:34
10,104,1,"2,6","1,4",11-01-2025 18:34
